model,accuracy,precision,recall,f1_weighted,f1_macro
Tuned Linear SVM,0.7427716849451645,0.742009465205102,0.7427716849451645,0.7418856846285569,0.7383076064268725
Tuned Logistic Regression,0.7377866400797607,0.7369901367361403,0.7377866400797607,0.7369250632265111,0.7333064404428631
